bairro,logradouro,endereco_mapa,latitude,longitude,status_geocodificacao
Anil,RUA NAZARE DA MATA,"RUA NAZARE DA MATA, Anil, Rio de Janeiro, RJ, Brasil",-22.957596,-43.3340747,ok
Anil,RUA O TEMPO E O VENTO,"RUA O TEMPO E O VENTO, Anil, Rio de Janeiro, RJ, Brasil",-22.962803,-43.3357337,ok
Anil,RUA OSCAR LOPES,"RUA OSCAR LOPES, Anil, Rio de Janeiro, RJ, Brasil",-22.952094,-43.3343276,ok
Anil,RUA PIERRE LAPLACE,"RUA PIERRE LAPLACE, Anil, Rio de Janeiro, RJ, Brasil",-22.9513293,-43.3301783,ok
Anil,RUA PROF FERNANDO RAJA GABAGLIA,"RUA PROF FERNANDO RAJA GABAGLIA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA RAUL RUDGE,"RUA RAUL RUDGE, Anil, Rio de Janeiro, RJ, Brasil",-22.9502138,-43.3346111,ok
Anil,RUA RAUL SEIXAS,"RUA RAUL SEIXAS, Anil, Rio de Janeiro, RJ, Brasil",-22.9475942,-43.3322817,ok
Anil,RUA SOLD GENARO PEDRO LIMA,"RUA SOLD GENARO PEDRO LIMA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA SOLD JOAO DE DEUS ARAUJO,"RUA SOLD JOAO DE DEUS ARAUJO, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA SOLD LUIZ GONZAGA,"RUA SOLD LUIZ GONZAGA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA SOLD ORLANDO HENRIQUE,"RUA SOLD ORLANDO HENRIQUE, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA SOLD PERICLES LEAL BEZERRA,"RUA SOLD PERICLES LEAL BEZERRA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA SOLD WILSON FRANCA,"RUA SOLD WILSON FRANCA, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anil,RUA TINHORAO,"RUA TINHORAO, Anil, Rio de Janeiro, RJ, Brasil",-22.9530098,-43.3280902,ok
Anil,VIA SERV PAL 19752,"VIA SERV PAL 19752, Anil, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bancários,AVN DOUTOR AGENOR DE ALMEIDA LOYOLA,"AVN DOUTOR AGENOR DE ALMEIDA LOYOLA, Bancários, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bancários,AVN ILHA DAS ENXADAS,"AVN ILHA DAS ENXADAS, Bancários, Rio de Janeiro, RJ, Brasil",,,não encontrado
Bancários,AVN ILHA DO FUNDAO,"AVN ILHA DO FUNDAO, Bancários, Rio de Janeiro, RJ, Brasil",,,não encontrado
